Nums,feng,kar,pu,our
10,43.4563,4.74573,0.380123,0.174791
20,86.304,7.14916,0.754206,0.32979
30,129.555,10.708,1.14091,0.492999
40,179.902,14.2538,1.50809,0.65652
50,215.804,17.8104,1.88474,0.832451
